indeks klienta;Nr klienta;Nazwisko;Imiê
4;1127;Abbacki;Dorian
6;1529;Acbacki;Montan
8;1739;Adbacki;Walenty
10;1087;Aebacki;Bonit
12;1112;Afbacki;Dezyderiusz
14;1669;Agbacki;Sylwan
16;1685;Ahbacki;Tacjan
18;1521;Aibacki;Modest
20;1620;Ajbacki;Sabin
22;1445;Akbacki;Litoriusz
24;1205;Albacki;Floryn
26;1751;Ambacki;Walery
28;1477;Anbacki;Maksymilian
30;1317;Aobacki;Juniusz
32;1084;Apbacki;Bonet
34;1128;Arbacki;Dorian
36;1372;Asbacki;Klemens
38;1742;Atbacki;Walentyn
40;1555;Aubacki;Patrycjusz
42;1174;Awbacki;Fidelis
44;1740;Babacki;Walenty
46;1593;Bbbacki;Remigiusz
48;1745;Bcbacki;Walerian
50;1651;Bdbacki;Sewer
52;1218;Bebacki;Fotyn
54;1696;Bfbacki;Tercjusz
56;1643;Bgbacki;Sergiusz
58;1239;Bhbacki;German
60;1206;Bibacki;Floryn
62;1706;Bjbacki;Trojan
64;1600;Bkbacki;Renat
66;1085;Blbacki;Bonet
68;1707;Bmbacki;Trojan
70;1498;Bnbacki;Marcin
72;1027;Bobacki;Augustyn
74;1703;Bpbacki;Treweriusz
76;1058;Brbacki;Awit
78;1478;Bsbacki;Maksymilian
80;1207;Btbacki;Floryn
82;1054;Bubacki;Aurelian
84;1057;Bwbacki;Aureliusz
86;1473;Cabacki;Maksencjusz
88;1341;Cbbacki;Kancjan
90;1713;Ccbacki;Turybiusz
92;1060;Cdbacki;Barbacy
94;1522;Cebacki;Modest
96;1753;Cfbacki;Wenancjusz
98;1597;Cgbacki;Remus
100;1366;Chbacki;Klaudian
102;1163;Cibacki;Felicjan
104;1092;Cjbacki;Cecylian
106;1598;Ckbacki;Remus
108;1347;Clbacki;Kancjusz
110;1559;Cmbacki;Patrycy
112;1219;Cnbacki;Fotyn
114;1675;Cobacki;Sylweriusz
116;1719;Cpbacki;Tyberiusz
118;1342;Crbacki;Kancjan
120;1552;Csbacki;Owidiusz
122;1765;Ctbacki;Wigiliusz
124;1321;Cubacki;Justyn
126;1285;Cwbacki;Hortensjusz
128;1535;Dabacki;Natalis
130;1472;Dbbacki;£ukasz
132;1322;Dcbacki;Justyn
134;1281;Ddbacki;Horacy
136;1086;Debacki;Bonifacy
138;1154;Dfbacki;Faust
140;1022;Dgbacki;August
142;1604;Dhbacki;Roman
144;1196;Dibacki;Florian
146;1412;Djbacki;Laurencjusz
148;1059;Dkbacki;Balbin
150;1681;Dlbacki;Sylwiusz
152;1616;Dmbacki;Rufus
154;1463;Dnbacki;Lupus
156;1113;Dobacki;Dezyderiusz
158;1756;Dpbacki;Wenanty
160;1008;Drbacki;Antoni
162;1175;Dsbacki;Fidelis
164;1556;Dtbacki;Patrycjusz
166;1236;Dubacki;Gaudenty
168;1726;Dwbacki;Tycjan
170;1523;Eabacki;Modest
172;1727;Ebbacki;Tycjan
174;1776;Ecbacki;Wincenty
176;1549;Edbacki;Oktawiusz
178;1220;Eebacki;Fotyn
180;1513;Efbacki;Maur
182;1013;Egbacki;Antonin
184;1039;Ehbacki;Auksencjusz
186;1167;Eibacki;Feliks
188;1014;Ejbacki;Antonin
190;1494;Ekbacki;Marceli
192;1187;Elbacki;Florencjusz
194;1777;Embacki;Wincenty
196;1617;Enbacki;Rufus
198;1413;Eobacki;Laurencjusz
200;1373;Epbacki;Klemens
202;1093;Erbacki;Cecylian
204;1735;Esbacki;Ursyn
206;1701;Etbacki;Tertulian
208;1077;Eubacki;B³a¿ej
210;1397;Ewbacki;Krystian
212;1147;Fabacki;Emilian
214;1188;Fbbacki;Florentyn
216;1682;Fcbacki;Sylwiusz
218;1004;Fdbacki;Amat
220;1676;Febacki;Sylwester
222;1677;Ffbacki;Sylwester
224;1507;Fgbacki;Mariusz
226;1704;Fhbacki;Treweriusz
228;1028;Fibacki;Augustyn
230;1637;Fjbacki;Sekundyn
232;1736;Fkbacki;Ursyn
234;1197;Flbacki;Florian
236;1541;Fmbacki;Nestor
238;1767;Fnbacki;Wiktor
240;1044;Fobacki;Aulus
242;1393;Fpbacki;Kryspin
244;1374;Frbacki;Klemens
246;1367;Fsbacki;Klaudian
248;1029;Ftbacki;Augustyn
250;1300;Fubacki;January
252;1123;Fwbacki;Donat
254;1250;Gabacki;Gratus
256;1315;Gbbacki;Juliusz
258;1766;Gcbacki;Wigiliusz
260;1566;Gdbacki;Pawe³
262;1100;Gebacki;Cyprian
264;1737;Gfbacki;Ursyn
266;1414;Ggbacki;Laurencjusz
268;1772;Ghbacki;Wiktorian
270;1749;Gibacki;Waleriusz
272;1382;Gjbacki;Konstancjusz
274;1638;Gkbacki;Sekundyn
276;1088;Glbacki;Bonit
278;1398;Gmbacki;Krystian
280;1061;Gnbacki;Barbacy
282;1683;Gobacki;Sylwiusz
284;1684;Gpbacki;Sylwiusz
286;1270;Grbacki;Honoriusz
288;1724;Gsbacki;Tyburcy
290;1399;Gtbacki;Krystian
292;1474;Gubacki;Maksencjusz
294;1720;Gwbacki;Tyberiusz
296;1644;Habacki;Sergiusz
298;1264;Hbbacki;Honorat
300;1468;Hcbacki;£ucjan
302;1040;Hdbacki;Auksencjusz
304;1168;Hebacki;Feliks
306;1375;Hfbacki;Klementyn
308;1301;Hgbacki;January
310;1416;Hhbacki;Laurentyn
312;1394;Hibacki;Kryspin
314;1547;Hjbacki;Oktawian
316;1741;Hkbacki;Walenty
318;1505;Hlbacki;Marek
320;1318;Hmbacki;Juniusz
322;1062;Hnbacki;Barbacy
324;1645;Hobacki;Sergiusz
326;1517;Hpbacki;Mauryn
328;1329;Hrbacki;Juwenalis
330;1376;Hsbacki;Klementyn
332;1479;Htbacki;Maksymilian
334;1731;Hubacki;Tytus
336;1240;Hwbacki;German
338;1180;Kabacki;Flawiusz
340;1101;Kbbacki;Cyprian
342;1728;Kcbacki;Tygriusz
344;1357;Kdbacki;Katerw
346;1712;Kebacki;Tuliusz
348;1337;Kfbacki;Kamil
350;1514;Kgbacki;Maur
352;1015;Khbacki;Antonin
354;1030;Kibacki;Augustyn
356;1773;Kjbacki;Wiktorian
358;1729;Kkbacki;Tygriusz
360;1155;Klbacki;Faust
362;1306;Kmbacki;Julian
364;1102;Knbacki;Dacjan
366;1005;Kobacki;Amat
368;1369;Kpbacki;Klaudiusz
370;1078;Krbacki;B³a¿ej
372;1499;Ksbacki;Marcjalis
374;1750;Ktbacki;Waleriusz
376;1567;Kubacki;Pawe³
378;1587;Kwbacki;Potyt
380;1316;Labacki;Juliusz
382;1599;Lbbacki;Remus
384;1020;Lcbacki;Arsacjusz
386;1089;Ldbacki;Bonit
388;1176;Lebacki;Fidelis
390;1208;Lfbacki;Floryn
392;1634;Lgbacki;Scypion
394;1189;Lhbacki;Florentyn
396;1734;Libacki;Ursycyn
398;1190;Ljbacki;Florentyn
400;1415;Lkbacki;Laurenty
402;1475;Llbacki;Maksencjusz
404;1172;Lmbacki;Fereol
406;1094;Lnbacki;Cecylian
408;1464;Lobacki;Lupus
410;1697;Lpbacki;Terencjusz
412;1465;Lrbacki;Lupus
414;1483;Lsbacki;Maksymin
416;1557;Ltbacki;Patrycjusz
418;1495;Lubacki;Marceli
420;1009;Lwbacki;Antoni
422;1469;Mabacki;£ucjan
424;1649;Mbbacki;Serwiusz
426;1757;Mcbacki;Wenanty
428;1484;Mdbacki;Mamertyn
430;1639;Mebacki;Sekundyn
432;1530;Mfbacki;Montan
434;1043;Mgbacki;Auksenty
436;1010;Mhbacki;Antoni
438;1652;Mibacki;Sewer
440;1754;Mjbacki;Wenancjusz
442;1221;Mkbacki;Fotyn
444;1273;Mlbacki;Honoryn
446;1011;Mmbacki;Antoni
448;1181;Mnbacki;Flawiusz
450;1234;Mobacki;Gaudencjusz
452;1531;Mpbacki;Montan
454;1131;Mrbacki;Druzjan
456;1423;Msbacki;Leon
458;1251;Mtbacki;Hadrian
460;1635;Mubacki;Scypion
462;1657;Mwbacki;Seweryn
464;1647;Nabacki;Serwacy
466;1594;Nbbacki;Remigiusz
468;1401;Ncbacki;Kwadrat
470;1103;Ndbacki;Dacjan
472;1385;Nebacki;Konstans
474;1480;Nfbacki;Maksymilian
476;1323;Ngbacki;Justyn
478;1714;Nhbacki;Turybiusz
480;1063;Nibacki;Barbacy
482;1755;Njbacki;Wenancjusz
484;1708;Nkbacki;Tryfiliusz
486;1670;Nlbacki;Sylwan
488;1079;Nmbacki;B³a¿ej
490;1524;Nnbacki;Modest
492;1324;Nobacki;Justyn
494;1525;Npbacki;Modest
496;1417;Nrbacki;Laurentyn
498;1733;Nsbacki;Ursus
500;1383;Ntbacki;Konstancjusz
502;1055;Nubacki;Aurelian
504;1653;Nwbacki;Sewer
506;1274;Oabacki;Honoryn
508;1705;Obbacki;Treweriusz
510;1237;Ocbacki;Gaudenty
512;1386;Odbacki;Konstanty
514;1451;Oebacki;Lucjan
516;1132;Ofbacki;Druzjan
518;1348;Ogbacki;Kancjusz
520;1774;Ohbacki;Wiktorian
522;1476;Oibacki;Maksencjusz
524;1571;Ojbacki;Petroniusz
526;1662;Okbacki;Sulpicjusz
528;1691;Olbacki;Tarsycjusz
530;1490;Ombacki;Maniusz
532;1271;Onbacki;Honoriusz
534;1182;Oobacki;Flawiusz
536;1384;Opbacki;Konstancjusz
538;1191;Orbacki;Florentyn
540;1671;Osbacki;Sylwan
542;1725;Otbacki;Tyburcy
544;1319;Oubacki;Juniusz
546;1327;Owbacki;Justynian
548;1143;Pabacki;Emil
550;1017;Pbbacki;Ardalion
552;1041;Pcbacki;Auksencjusz
554;1018;Pdbacki;Ardalion
556;1356;Pebacki;Kasjusz
558;1392;Pfbacki;Kornel
560;1610;Pgbacki;Romulus
562;1509;Phbacki;Matern
564;1663;Pibacki;Sulpicjusz
566;1235;Pjbacki;Gaudencjusz
568;1558;Pkbacki;Patrycjusz
570;1275;Plbacki;Honoryn
572;1368;Pmbacki;Klaudian
574;1664;Pnbacki;Sulpicjusz
576;1082;Pobacki;August
578;1485;Ppbacki;Mamertyn
580;1152;Prbacki;Fabian
582;1548;Psbacki;Oktawian
584;1572;Ptbacki;Petroniusz
586;1698;Pubacki;Terencjusz
588;1672;Pwbacki;Sylwan
590;1307;Rabacki;Julian
592;1302;Rbbacki;January
594;1129;Rcbacki;Dorian
596;1636;Rdbacki;Scypion
598;1042;Rebacki;Auksencjusz
600;1303;Rfbacki;January
602;1286;Rgbacki;Hortensjusz
604;1452;Rhbacki;Lucjusz
606;1550;Ribacki;Oktawiusz
608;1738;Rjbacki;Ursyn
610;1491;Rkbacki;Maniusz
612;1116;Rlbacki;Dominik
614;1730;Rmbacki;Tygriusz
616;1568;Rnbacki;Pawe³
618;1595;Robacki;Remigiusz
620;1336;Rpbacki;Kajetan
622;1288;Rrbacki;Hospicjusz
624;1510;Rsbacki;Matern
626;1500;Rtbacki;Marcjalis
628;1117;Rubacki;Dominik
630;1508;Rwbacki;Mariusz
632;1320;Sabacki;Juniusz
634;1486;Sbbacki;Mamertyn
636;1012;Scbacki;Antoni
638;1282;Sdbacki;Horacy
640;1023;Sebacki;August
642;1709;Sfbacki;Tryfiliusz
644;1173;Sgbacki;Fereol
646;1596;Shbacki;Remigiusz
648;1605;Sibacki;Roman
650;1283;Sjbacki;Horacy
652;1096;Skbacki;Celestyn
654;1611;Slbacki;Romulus
656;1328;Smbacki;Justynian
658;1640;Snbacki;Sekundyn
660;1618;Sobacki;Rufus
662;1395;Spbacki;Kryspin
664;1238;Srbacki;Gawe³
666;1287;Ssbacki;Hortensjusz
668;1080;Stbacki;B³a¿ej
670;1518;Subacki;Mauryn
672;1626;Swbacki;Salwator
674;1124;Tabacki;Donat
676;1343;Tbbacki;Kancjan
678;1209;Tcbacki;Floryn
680;1650;Tdbacki;Serwiusz
682;1481;Tebacki;Maksymilian
684;1496;Tfbacki;Marceli
686;1249;Tgbacki;Gracjan
688;1418;Thbacki;Laurentyn
690;1646;Tibacki;Sergiusz
692;1536;Tjbacki;Natalis
694;1099;Tkbacki;Cezary
696;1519;Tlbacki;Memiusz
698;1056;Tmbacki;Aurelian
700;1492;Tnbacki;Maniusz
702;1493;Tobacki;Maniusz
704;1702;Tpbacki;Tertulian
706;1213;Trbacki;Fortunat
708;1308;Tsbacki;Julian
710;1125;Ttbacki;Donat
712;1280;Tubacki;Horacjusz
714;1144;Twbacki;Emil
716;1732;Uabacki;Tytus
718;1526;Ubbacki;Modest
720;1580;Ucbacki;Pius
722;1758;Udbacki;Wenerand
724;1222;Uebacki;Fotyn
726;1019;Ufbacki;Ardalion
728;1148;Ugbacki;Emilian
730;1784;Uhbacki;Wirgiliusz
732;1641;Uibacki;Sekundyn
734;1133;Ujbacki;Druzjan
736;1466;Ukbacki;Lupus
738;1623;Ulbacki;Sabinian
740;1551;Umbacki;Oktawiusz
742;1153;Unbacki;Fabian
744;1621;Uobacki;Sabin
746;1619;Upbacki;Rufus
748;1746;Urbacki;Walerian
750;1024;Usbacki;August
752;1752;Utbacki;Walery
754;1446;Uubacki;Litoriusz
756;1501;Uwbacki;Marcjan
758;1140;Wabacki;Eligiusz
760;1642;Wbbacki;Sekundyn
762;1104;Wcbacki;Dacjan
764;1045;Wdbacki;Aulus
766;1130;Webacki;Dorian
768;1272;Wfbacki;Honoriusz
770;1601;Wgbacki;Renat
772;1021;Whbacki;Arsacjusz
774;1482;Wibacki;Maksymilian
776;1648;Wjbacki;Serwacy
778;1083;Wkbacki;August
780;1453;Wlbacki;Lucjusz
782;1223;Wmbacki;Fotyn
784;1095;Wnbacki;Cecylian
786;1689;Wobacki;Tarcyzjusz
788;1537;Wpbacki;Natalis
790;1183;Wrbacki;Flawiusz
792;1624;Wsbacki;Sabinian
794;1532;Wtbacki;Napoleon
796;1625;Wubacki;Sabinian
798;1678;Wwbacki;Sylwester
