identyfikator;nazwisko;imie;data_urodzenia;kod_udzialu
1303;Lbbacka;Innocentyna;1991-8-17;101000
1304;Pabacki;Emil;1965-4-4;110001
1305;Btbacka;Emilia;1955-4-14;101011
1306;Thbacka;Galla;1988-4-10;111000
1307;Wfbacki;Honoriusz;1971-2-11;111000
1308;Klbacki;Faust;1983-12-14;101000
1309;Ejbacka;Kwiryna;1979-2-11;101111
1310;Rrbacki;Hospicjusz;1964-3-26;010011
1311;Kgbacka;Auksencja;1951-1-2;101011
1312;Cfbacki;Wenancjusz;1952-4-22;001100
1313;Ppbacki;Mamertyn;1998-10-31;110100
1314;Wibacki;Maksymilian;1968-8-4;110101
1315;Hcbacki;£ucjan;1961-4-12;111111
1316;Gdbacka;Fausta;1972-11-21;000100
1317;Ngbacki;Justyn;1980-12-19;101101
1318;Umbacki;Oktawiusz;1961-12-31;000110
1319;Ecbacka;Wiktoria;1998-3-27;000111
1320;Ewbacki;Krystian;1968-12-4;101101
1321;Pebacka;Sydonia;1959-6-13;000001
1322;Arbacki;Dorian;1989-7-15;111000
1323;Wdbacki;Aulus;1983-12-27;111111
1324;Nibacka;Pia;1999-6-26;001100
1325;Gmbacka;Wiola;1987-10-10;110111
1326;Cdbacka;Emerencja;1961-2-19;110110
1327;Nmbacki;B³a¿ej;1982-7-16;111100
1328;Bbbacki;Remigiusz;1990-6-23;011001
1329;Lpbacki;Terencjusz;1959-7-11;110110
1330;Uabacka;Wiola;1959-8-3;101110
1331;Cubacki;Justyn;1987-6-28;001010
1332;Nobacka;Lawinia;1960-12-10;111010
1333;Elbacka;Lawinia;1983-2-10;110011
1334;Wrbacka;Kandyda;1961-9-10;110100
1335;Psbacki;Oktawian;1955-11-3;110011
1336;Kgbacki;Maur;1992-2-24;100101
1337;Tbbacka;Zyta;1984-3-1;010101
1338;Bgbacka;Fawila;1974-2-22;100101
1339;Uobacki;Sabin;1967-12-22;011010
1340;Rcbacka;Tuskana;1964-12-16;010000
1341;Ulbacka;B³a¿eja;1988-9-25;010100
1342;Phbacka;Dalia;1992-10-16;011001
1343;Pcbacka;Materna;1998-8-20;101100
1344;Kwbacki;Potyt;1984-2-26;010110
1345;Onbacka;Aurelia;1951-7-20;100010
1346;Mibacki;Sewer;1986-3-12;111100
1347;Mtbacki;Hadrian;1954-2-4;010011
1348;Smbacki;Justynian;1962-1-11;001111
1349;Sdbacka;Wirginia;1957-6-30;011100
1350;Djbacki;Laurencjusz;1985-1-7;100011
1351;Fpbacka;Amadea;1978-12-30;101000
1352;Pjbacki;Gaudencjusz;1954-4-10;110001
1353;Bibacki;Floryn;1981-2-20;100001
1354;Ktbacka;Zyta;1989-3-12;010011
1355;Fwbacka;Tertulia;1957-7-9;010100
1356;Orbacki;Florentyn;1978-8-22;011010
1357;Subacki;Mauryn;1964-6-30;011001
1358;Okbacki;Sulpicjusz;1967-11-30;101110
1359;Stbacki;B³a¿ej;1978-7-24;111011
1360;Srbacka;Hilaria;1995-6-13;101010
1361;Lobacki;Lupus;1977-11-16;111100
1362;Dubacka;Paulina;1991-12-26;101000
1363;Uhbacka;Julianna;1987-3-7;001111
1364;Rjbacka;Sylwia;1965-11-11;110111
1365;Habacka;Patrycja;1975-9-30;101001
1366;Ahbacka;Fortunata;1989-4-20;111101
1367;Ojbacka;Sabina;1993-3-13;011000
1368;Cjbacka;Dominika;1991-6-9;100011
1369;Ogbacka;Juwencja;1950-6-20;011010
1370;Tobacka;Angelika;1959-8-16;101011
1371;Hdbacki;Auksencjusz;1990-10-2;101001
1372;Smbacka;Emerencja;1981-8-10;110010
1373;Fcbacki;Sylwiusz;1972-3-23;110111
1374;Hsbacka;Gloria;1973-8-15;101010
1375;Rgbacki;Hortensjusz;1953-12-8;011000
1376;Oubacki;Juniusz;1964-7-21;110100
1377;Embacki;Wincenty;1991-2-25;010101
1378;Slbacki;Romulus;1968-5-14;101010
1379;Brbacka;Dalia;1974-5-15;100111
1380;Bsbacki;Maksymilian;1962-2-24;100010
1381;Urbacki;Walerian;1966-4-21;001010
1382;Owbacki;Justynian;1998-1-3;110100
1383;Gjbacki;Konstancjusz;1968-3-27;101001
1384;Pfbacki;Kornel;1964-8-8;100000
1385;Lnbacki;Cecylian;1968-2-23;011101
1386;Shbacka;Leonia;1978-4-21;001011
1387;Ohbacki;Wiktorian;1966-7-8;000000
1388;Rbbacka;Dominika;1979-9-2;110001
1389;Mkbacki;Fotyn;1971-3-2;001111
1390;Gtbacki;Krystian;1987-1-7;001000
1391;Eobacka;Honorata;1958-5-17;101101
1392;Gmbacki;Krystian;1994-4-29;101101
1393;Embacka;Aurea;1971-12-28;000011
1394;Cpbacki;Tyberiusz;1961-5-15;000100
1395;Plbacka;Wiktoria;1978-1-28;011001
1396;Gsbacka;Amanda;1975-5-30;000011
1397;Efbacki;Maur;1987-12-6;011010
1398;Uabacki;Tytus;1989-7-21;101011
1399;Fabacki;Emilian;1958-7-17;001000
1400;Gobacka;Justyna;1967-8-23;100111
1401;Dlbacki;Sylwiusz;1962-4-9;011001
1402;Aubacki;Patrycjusz;1976-2-19;110011
1403;Fobacki;Aulus;1971-4-21;111010
1404;Etbacka;Mamertyna;1954-12-7;100010
1405;Nebacki;Konstans;1988-3-29;010001
1406;Cabacka;Kaja;1974-2-28;110010
1407;Hhbacki;Laurentyn;1971-7-30;111000
1408;Ekbacki;Marceli;1973-5-12;101000
1409;Ubbacki;Modest;1984-7-19;101010
1410;Mhbacka;Renata;1957-3-26;011110
1411;Obbacka;Weridiana;1953-10-28;001001
1412;Rkbacki;Maniusz;1994-8-21;010000
1413;Bhbacki;German;1967-10-24;011100
1414;Dcbacki;Justyn;1965-5-24;011001
1415;Albacka;Paula;1979-11-25;001111
1416;Afbacki;Dezyderiusz;1998-8-12;100101
1417;Ltbacka;Stella;1978-1-3;010011
1418;Edbacka;Felicja;1968-6-25;111000
1419;Gbbacki;Juliusz;1959-6-20;011101
1420;Fbbacki;Florentyn;1958-3-15;011000
1421;Nsbacka;Kasjana;1978-7-5;010111
1422;Hjbacki;Oktawian;1962-5-24;011110
1423;Aibacka;Fausta;1991-10-16;001100
1424;Kabacka;Izaura;1993-12-11;110110
1425;Sibacki;Roman;1978-11-11;001100
1426;Ujbacka;£ucja;1988-9-7;001111
1427;Tsbacka;Laura;1962-6-12;010011
1428;Tkbacka;Sybillina;1975-6-13;000010
1429;Pgbacka;Klementyna;1980-5-14;111110
1430;Bhbacka;Hilaria;1990-5-19;110100
1431;Rsbacki;Matern;1966-11-15;001111
1432;Dcbacka;Felicyta;1950-11-14;110110
1433;Ghbacka;Hilaria;1973-2-16;101111
1434;Pkbacka;Eligia;1981-3-28;000111
1435;Kubacki;Pawe³;1969-10-17;001000
1436;Ffbacka;Florentyna;1957-3-29;100111
1437;Kobacka;Mamertyna;1985-9-29;100001
1438;Ajbacka;Sydonia;1982-9-3;010001
1439;Dfbacka;Dominika;1951-10-28;111100
1440;Pibacka;Leontyna;1994-3-9;010101
1441;Sgbacki;Fereol;1990-7-7;100101
1442;Ljbacka;Lucyla;1963-9-24;000011
1443;Oobacki;Flawiusz;1986-6-21;100000
1444;Rhbacka;Letycja;1959-8-4;001101
1445;Cobacka;Romana;1963-3-25;001100
1446;Eabacka;Scholastyka;1952-8-24;111100
1447;Rebacki;Auksencjusz;1967-3-29;000001
1448;Nibacki;Barbacy;1981-7-10;001001
1449;Tmbacka;Felicja;1997-6-30;001111
1450;Ocbacki;Gaudenty;1981-4-5;000101
1451;Cubacka;Lucyla;1985-12-29;000101
1452;Cnbacki;Fotyn;1970-7-4;100111
1453;Cibacka;Lukrecja;1977-1-25;100000
1454;Dibacki;Florian;1979-5-15;110010
1455;Lebacka;Klaudyna;1973-10-22;101000
1456;Gebacka;Kryspina;1988-6-28;000100
1457;Ehbacka;Miranda;1952-6-13;110010
1458;Bfbacki;Tercjusz;1992-1-21;000100
1459;Orbacka;Julia;1951-8-23;000011
1460;Ccbacka;Waleriana;1970-6-28;100111
1461;Kcbacki;Tygriusz;1958-2-24;110100
1462;Nlbacka;Bonita;1982-2-4;101111
1463;Rpbacka;Kandyda;1978-12-16;001000
1464;Lobacka;Materna;1950-11-22;010010
1465;Bubacki;Aurelian;1974-4-15;001000
1466;Bibacka;Lucyna;1959-4-5;001111
1467;Sfbacki;Tryfiliusz;1982-2-25;101111
1468;Dbbacka;Bibiana;1981-4-5;111101
1469;Hwbacka;Julita;1981-7-12;101010
1470;Ubbacka;Licynia;1997-7-17;100000
1471;Frbacka;Julita;1954-10-6;010001
1472;Epbacka;Kamila;1960-2-12;111011
1473;Crbacki;Kancjan;1967-9-21;010011
1474;Ggbacki;Laurencjusz;1952-12-30;001110
1475;Kebacki;Tuliusz;1988-10-19;110010
1476;Uwbacki;Marcjan;1952-9-25;011000
1477;Rfbacka;Nonna;1996-3-8;001111
1478;Egbacki;Antonin;1990-5-18;110010
1479;Gibacka;Lilla;1958-3-27;110000
1480;Dobacka;Potencjana;1980-12-28;111110
1481;Ebbacka;Sybillina;1992-8-16;011100
1482;Mhbacki;Antoni;1990-4-1;011000
1483;Utbacki;Walery;1974-5-9;110001
1484;Enbacki;Rufus;1991-1-4;111100
1485;Pobacki;August;1967-12-5;010011
1486;Debacki;Bonifacy;1955-4-17;001110
1487;Ohbacka;Honorata;1956-1-21;110011
1488;Tjbacka;Sylwana;1962-9-14;010011
1489;Tjbacki;Natalis;1971-6-14;100000
1490;Khbacka;Justyna;1957-6-23;111110
1491;Spbacka;Nazaria;1963-9-11;001010
1492;Tnbacki;Maniusz;1969-7-30;100110
1493;Oebacki;Lucjan;1974-2-5;100001
1494;Hrbacka;Hadrianna;1961-6-26;010000
1495;Bjbacki;Trojan;1994-6-8;101110
1496;Tibacki;Sergiusz;1950-6-9;010000
1497;Mpbacki;Montan;1958-9-27;010100
1498;Ptbacki;Petroniusz;1981-8-29;011111
1499;Pbbacka;Scholastyka;1960-10-22;100110
1500;Lubacka;Julianna;1961-12-8;101110
1501;Tpbacki;Tertulian;1988-12-1;010011
1502;Uibacki;Sekundyn;1988-2-27;000001
1503;Klbacka;Romula;1985-5-15;101111
1504;Cbbacki;Kancjan;1968-8-11;101010
1505;Clbacki;Kancjusz;1981-12-23;101011
1506;Cfbacka;Sewera;1951-7-14;010100
1507;Htbacka;Benigna;1967-4-25;101000
1508;Uebacka;Tarsylia;1998-9-4;100100
1509;Thbacki;Laurentyn;1994-7-23;101010
1510;Lnbacka;Nazaria;1969-2-6;010000
1511;Kabacki;Flawiusz;1983-9-24;001111
1512;Bpbacka;Florianna;1978-4-9;010011
1513;Fgbacki;Mariusz;1979-2-27;010000
1514;Agbacki;Sylwan;1984-10-13;100011
1515;Eibacki;Feliks;1959-9-25;011010
1516;Tdbacka;Kamila;1995-1-23;111110
1517;Nrbacka;Liliana;1999-10-15;101000
1518;Sobacki;Rufus;1965-12-29;101111
1519;Gjbacka;Druzjanna;1989-8-6;101100
1520;Acbacka;Pudencjanna;1963-8-24;110011
1521;Tabacka;Fotyna;1982-10-15;001101
1522;Ucbacka;Julita;1977-4-21;100001
1523;Mnbacka;Leonia;1974-10-28;000010
1524;Ukbacka;Lukrecja;1989-8-31;111001
1525;Pwbacki;Sylwan;1999-6-7;111001
1526;Dpbacki;Wenanty;1998-6-10;011010
1527;Ufbacki;Ardalion;1993-5-9;010111
1528;Febacka;£ucjana;1966-4-19;110010
1529;Agbacka;Konstantyna;1979-6-16;111111
1530;Drbacki;Antoni;1986-9-6;101101
1531;Dgbacka;Gloria;1962-2-15;000111
1532;Ttbacka;Druzjanna;1958-11-23;001011
1533;Kibacka;Flora;1981-1-2;001000
1534;Ecbacki;Wincenty;1995-3-28;011010
1535;Dnbacka;Wioleta;1961-1-25;011101
1536;Hnbacki;Barbacy;1979-6-17;100010
1537;Clbacka;Honoryna;1984-9-19;000111
1538;Tlbacka;Placyda;1970-9-30;111110
1539;Kpbacka;Placyda;1999-4-16;001100
1540;Kkbacka;Blandyna;1988-2-18;100111
1541;Awbacki;Fidelis;1986-1-9;000100
1542;Hgbacka;Oktawia;1959-4-30;101011
1543;Ssbacki;Hortensjusz;1989-8-1;100110
1544;Umbacka;Fortunata;1986-6-24;110010
1545;Mrbacka;Hadrianna;1981-11-13;111100
1546;Dnbacki;Lupus;1974-1-16;011010
1547;Ngbacka;Tarsylia;1993-6-6;000010
1548;Mbbacka;Tuskana;1952-7-10;010001
1549;Efbacka;Celina;1989-2-13;100000
1550;Owbacka;Rozalia;1983-6-10;000111
1551;Ntbacka;Nonna;1953-1-7;010111
